Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.875000,5.875000,5.475000,5.500000,3.569429,162252800000
2000-01-10,5.613000,5.613000,5.325000,5.400000,3.504529,109893120000
2000-01-17,5.338000,5.363000,5.200000,5.200000,3.374732,117163520000
2000-01-24,5.163000,5.225000,5.163000,5.188000,3.366944,100577280000
2000-01-31,5.101000,5.588000,5.101000,5.588000,3.626539,117360640000
2000-02-07,5.625000,5.750000,5.288000,5.288000,3.431842,111610880000
2000-02-14,5.213000,5.738000,5.213000,5.563000,3.610314,161126400000
2000-02-21,5.550000,5.863000,5.525000,5.863000,3.805012,131399680000
2000-02-28,5.750000,6.038000,5.750000,6.038000,3.918584,97018880000
2000-03-06,6.038000,6.399000,6.038000,6.213000,4.032157,44679680000
2000-03-13,6.213000,6.213000,5.813000,5.863000,3.805012,95383040000
2000-03-20,5.688000,5.814000,5.688000,5.813000,3.772562,108316160000
2000-03-27,6.250000,6.250000,5.825000,5.900000,3.829022,98513920000
2000-04-03,5.850000,6.188000,5.819000,6.188000,4.015931,135687680000
2000-04-10,6.050000,6.050000,5.900000,5.900000,3.829022,120960000000
2000-04-17,5.250000,5.413000,5.088000,5.100000,3.309834,173992960000
2000-04-24,5.000000,5.450000,5.000000,5.376000,3.488955,151482880000
2000-05-01,5.376000,5.506000,5.376000,5.488000,3.561641,79516160000
2000-05-08,5.494000,5.499000,5.306000,5.306000,3.443524,133611520000
2000-05-15,5.400000,5.575000,5.400000,5.413000,3.512966,101445120000
2000-05-22,5.256000,5.325000,5.238000,5.251000,3.407829,148047360000
2000-05-29,5.300000,5.813000,5.238000,5.813000,3.772562,139509760000
2000-06-05,5.790000,6.276000,5.790000,6.275000,4.072394,86159360000
2000-06-12,6.238000,6.288000,6.163000,6.288000,4.080829,114283520000
2000-06-19,6.325000,6.438750,6.325000,6.438750,4.178665,123553193600
2000-06-26,6.562500,6.862500,6.562500,6.812500,4.421223,108112000
2000-07-03,7.000000,7.150000,6.706250,6.706250,4.352268,162563200
2000-07-10,6.731250,6.731250,6.055000,6.187500,4.015608,187155200
2000-07-17,6.187500,6.550000,6.125000,6.437500,4.177854,236233600
2000-07-24,6.375000,6.375000,5.775000,5.775000,3.747898,210569600
2000-07-31,5.852500,5.852500,5.687500,5.812500,3.772237,379436800
2000-08-07,5.945000,6.237500,5.631250,6.237500,4.048056,721491200
2000-08-14,6.225000,6.625000,6.225000,6.498750,4.217605,259737600
2000-08-21,6.368750,6.687500,6.368750,6.687500,4.340101,210355200
2000-08-28,6.612500,7.062500,6.612500,6.937500,4.502347,257430400
2000-09-04,6.892500,7.112500,6.851250,7.062500,4.583470,106160000
2000-09-11,7.200000,7.200000,6.737500,6.822500,4.427713,186361600
2000-09-18,6.623750,6.687500,6.437500,6.437500,4.177854,182886400
2000-09-25,6.500000,6.662500,6.500000,6.550000,4.250864,182473600
2000-10-02,6.525000,6.625000,6.475000,6.475000,4.202190,109731200
2000-10-09,6.487500,6.705000,6.487500,6.705000,4.351458,131177600
2000-10-16,6.462500,6.462500,6.187500,6.250000,4.056168,272819200
2000-10-23,5.993750,6.171250,5.725000,6.171250,4.005062,187641600
2000-10-30,6.338750,6.397500,6.262500,6.262500,4.064281,132745600
2000-11-06,6.398750,6.525000,6.250000,6.268750,4.068337,180857600
2000-11-13,6.350000,6.575000,6.350000,6.500000,4.218415,78201600
2000-11-20,6.375000,6.612500,6.250000,6.313750,4.097542,161952000
2000-11-27,6.358750,6.373750,5.875000,5.900000,3.829022,176800000
2000-12-04,5.876250,6.087500,5.500000,5.687500,3.691113,243760000
2000-12-11,5.812500,6.000000,5.575000,5.911250,3.836324,189657600
2000-12-18,5.975000,5.986250,5.562500,5.625000,3.650551,212048000
2000-12-25,5.625000,5.750000,5.576250,5.722500,3.713827,45692800
2001-01-01,5.722500,6.387500,5.722500,6.250000,4.056168,180508800
2001-01-08,6.250000,6.475000,6.137500,6.387500,4.145403,191993600
2001-01-15,6.437500,6.936250,6.375000,6.908750,4.483687,232787200
2001-01-22,6.875000,7.037500,6.712500,6.793750,4.409055,141184000
2001-01-29,6.937500,6.937500,6.662500,6.725000,4.364438,147427200
2001-02-05,6.725000,7.031250,6.625000,7.001250,4.543719,128224000
2001-02-12,7.000000,7.348750,6.937500,7.051250,4.576169,173321600
2001-02-19,7.050000,7.112500,6.875000,6.962500,4.518571,132051200
2001-02-26,6.962500,7.250000,6.802500,7.062500,4.583470,67033600
2001-03-05,7.075000,7.225000,7.001250,7.137500,4.632144,115561600
2001-03-12,6.815000,7.137500,6.150000,6.383750,4.142971,251097600
2001-03-19,6.462500,6.473750,5.751250,6.061250,3.933673,254947200
2001-03-26,5.937500,6.186250,5.700000,5.871250,3.810366,139241600
2001-04-02,5.618750,6.350000,5.575000,6.350000,4.121067,155219200
2001-04-09,6.390000,6.537500,6.037500,6.187500,4.015608,114598400
2001-04-16,6.073750,6.475000,5.937500,6.037500,3.918259,169913600
2001-04-23,6.125000,6.825000,5.937500,6.687500,4.340101,201308800
2001-04-30,6.677500,7.037500,6.575000,6.937500,4.502347,102902400
2001-05-07,6.900000,7.186250,6.625000,7.062500,4.583470,112275200
2001-05-14,7.125000,7.293750,6.875000,7.248750,4.704346,106604800
2001-05-21,7.237500,7.562500,7.152500,7.237500,4.697044,141811200
2001-05-28,7.253750,7.537500,7.050000,7.531250,4.887682,82316800
2001-06-04,7.550000,7.860000,7.150000,7.225000,4.688931,145632000
2001-06-11,7.200000,7.518750,7.025000,7.088750,4.600506,125641600
2001-06-18,7.100000,7.425000,6.900000,7.150000,4.640257,133872000
2001-06-25,7.250000,7.311250,6.487500,6.750000,4.380661,143788800
2001-07-02,6.737500,6.750000,6.375000,6.525000,4.234640,122832000
2001-07-09,6.525000,6.850000,6.525000,6.725000,4.364438,104880000
2001-07-16,6.750000,6.800000,6.250000,6.625000,4.299538,337856000
2001-07-23,6.662500,6.848750,6.626250,6.687500,4.340101,146009600
2001-07-30,6.750000,6.811250,6.425000,6.615000,4.293049,104854400
2001-08-06,6.662500,6.748750,6.562500,6.673750,4.331176,123856000
2001-08-13,6.648750,6.837500,6.528750,6.575000,4.267090,151990400
2001-08-20,6.473750,6.982500,6.437500,6.982500,4.531552,169459200
2001-08-27,6.968750,7.125000,6.787500,6.875000,4.461784,106819200
2001-09-03,6.837500,7.293750,6.762500,6.976250,4.527494,96960000
2001-09-10,6.912500,7.375000,6.000000,6.375000,4.137290,169228800
2001-09-17,6.500000,7.112500,6.250000,6.638750,4.308462,240700800
2001-09-24,6.638750,6.638750,6.038750,6.412500,4.161628,195932800
2001-10-01,6.348750,6.398750,6.007500,6.281250,4.076450,140988800
2001-10-08,6.187500,6.687500,6.181250,6.687500,4.340101,87120000
2001-10-15,6.900000,6.912500,6.400000,6.512500,4.226527,222614400
2001-10-22,6.550000,6.748750,6.450000,6.587500,4.275202,161724800
2001-10-29,6.512500,6.693750,6.287500,6.362500,4.129179,122950400
2001-11-05,6.512500,6.800000,6.162500,6.761250,4.387963,279507200
2001-11-12,6.650000,6.725000,5.708750,5.725000,3.715449,275584000
2001-11-19,5.825000,6.362500,5.750000,6.246250,4.053735,208608000
2001-11-26,6.175000,6.258750,6.002500,6.187500,4.015608,214060800
2001-12-03,6.125000,6.512500,6.086250,6.235000,4.046433,186745600
2001-12-10,6.081250,6.212500,5.875000,5.900000,3.829022,155875200
2001-12-17,5.986250,6.186250,5.872500,6.033750,3.915824,167232000
2001-12-24,6.033750,6.437500,6.033750,6.393750,4.149461,73843200
2001-12-31,6.393750,6.500000,6.325000,6.410000,4.160005,84464000
2002-01-07,6.375000,6.600000,6.250000,6.275000,4.072394,146307200
2002-01-14,6.180000,6.296250,5.937500,6.116250,3.969367,92947200
2002-01-21,6.075000,6.143750,5.787500,5.871250,3.810366,80115200
2002-01-28,5.937500,6.125000,5.900000,6.025000,3.910146,161900800
2002-02-04,5.963750,6.125000,5.918750,5.945000,3.858228,105606400
2002-02-11,5.945000,6.310000,5.945000,6.310000,4.095109,93568000
2002-02-18,6.200000,6.525000,6.162500,6.487500,4.210302,183120000
2002-02-25,6.581250,7.250000,6.512500,7.248750,4.704346,181228800
2002-03-04,7.125000,7.337500,6.900000,7.050000,4.575358,195417600
2002-03-11,7.150000,7.550000,7.050000,7.500000,4.867402,208278400
2002-03-18,7.575000,7.598750,7.250000,7.256250,4.709212,139664000
2002-03-25,6.975000,7.350000,6.942500,7.218750,4.684875,96246400
2002-04-01,7.387500,7.437500,7.062500,7.115000,4.617542,175193600
2002-04-08,7.231250,7.287500,6.840000,6.903750,4.480444,143203200
2002-04-15,7.012500,7.137500,6.937500,6.990000,4.536417,191929600
2002-04-22,6.915000,7.062500,6.700000,6.762500,4.388773,155494400
2002-04-29,6.775000,6.912500,6.575000,6.798750,4.412301,133577600
2002-05-06,6.643750,6.831250,6.492500,6.500000,4.218415,122752000
2002-05-13,6.400000,6.771250,6.386250,6.761250,4.387963,137516800
2002-05-20,6.843750,7.087500,6.750000,6.900000,4.478008,119356800
2002-05-27,6.887500,7.037500,6.815000,6.815000,4.422846,72003200
2002-06-03,6.850000,6.962500,6.625000,6.687500,4.340101,100198400
2002-06-10,6.712500,6.750000,6.075000,6.181250,4.011550,138124800
2002-06-17,6.212500,6.275000,5.100000,5.380000,3.491550,222889600
2002-06-24,5.400000,6.228750,5.211250,6.106250,3.962876,223836800
2002-07-01,6.187500,6.187500,5.712500,5.803750,3.766560,99430400
2002-07-08,5.785000,5.850000,5.525000,5.687500,3.691113,93920000
2002-07-15,5.550000,5.800000,5.462500,5.600000,3.634327,115443200
2002-07-22,5.336250,5.350000,4.850000,4.912500,3.188148,287084800
2002-07-29,4.913750,5.456250,4.748750,5.387500,3.496417,344262400
2002-08-05,5.275000,5.775000,5.087500,5.625000,3.650551,254828800
2002-08-12,5.562500,5.623750,4.926250,5.082500,3.298476,175980800
2002-08-19,5.062500,5.228750,4.901250,5.153750,3.344715,163737600
2002-08-26,5.241250,5.550000,5.187500,5.500000,3.569429,174144000
2002-09-02,5.500000,5.800000,5.412500,5.678750,3.685436,176432000
