Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.500000,3.559166,3.375000,3.541666,2.124428,9384000
2000-01-10,3.750000,4.083333,3.750000,4.083333,2.449341,11980800
2000-01-17,4.083333,4.166666,3.916666,3.916666,2.349367,6720000
2000-01-24,3.916666,4.041666,3.916666,4.000000,2.399354,1800000
2000-01-31,4.000000,4.000000,3.708333,3.891666,2.334372,5616000
2000-02-07,3.916666,4.366666,3.790833,3.790833,2.273888,11212800
2000-02-14,3.791666,3.833333,3.583333,3.750000,2.249395,945600
2000-02-21,3.750000,3.833333,3.666666,3.666666,2.199408,1646400
2000-02-28,3.625000,3.625000,3.290833,3.290833,1.973969,1987200
2000-03-06,3.290833,3.315000,3.166666,3.166666,1.899488,705600
2000-03-13,3.166666,3.166666,3.000000,3.024166,1.814012,20688000
2000-03-20,3.025000,3.208333,2.750000,3.208333,1.924482,5203200
2000-03-27,3.250000,3.333333,3.125000,3.333333,1.999462,4300800
2000-04-03,3.316666,3.425000,3.166666,3.375000,2.024456,5832000
2000-04-10,3.350000,3.359166,3.075000,3.083333,1.849502,4814400
2000-04-17,3.083333,3.083333,2.917500,3.070833,1.842004,3748800
2000-04-24,3.050000,3.375000,2.916666,3.333333,1.999462,19756800
2000-05-01,3.333333,3.375000,3.291666,3.333333,1.999462,5726400
2000-05-08,3.333333,3.333333,3.191666,3.191666,1.914484,11376000
2000-05-15,3.208333,3.541666,3.191666,3.541666,2.124428,4358400
2000-05-22,3.458333,3.458333,3.166666,3.308333,1.984466,13617600
2000-05-29,3.333333,3.541666,3.291666,3.500000,2.099435,2985600
2000-06-05,3.500000,3.666666,3.416666,3.666666,2.199408,7368000
2000-06-12,3.550000,3.550000,3.333333,3.475000,2.084439,15144000
2000-06-19,3.500000,3.766666,3.500000,3.750000,2.249395,5467200
2000-06-26,3.758333,3.833333,3.749166,3.749166,2.248894,3475200
2000-07-03,3.749166,3.941666,3.708333,3.917500,2.349868,5572800
2000-07-10,3.916666,3.936666,3.558333,3.558333,2.134425,25651200
2000-07-17,3.625000,4.040833,3.625000,3.804166,2.281886,2260800
2000-07-24,3.833333,3.916666,3.708333,3.708333,2.224401,2025600
